Date,Time,Time since start (s),X (N.m),Y (N.m),Z (N.m)
04/06/2026,18:00:58,9671.2,1.546013E-06,0.000121939,-2.453881E-05
04/06/2026,18:00:58,9671.4,1.544689E-06,0.0001219328,-2.453744E-05
04/06/2026,18:00:58,9671.6,1.543358E-06,0.0001219266,-2.453608E-05
04/06/2026,18:00:58,9671.8,1.542027E-06,0.0001219204,-2.453471E-05
04/06/2026,18:00:58,9672,1.540699E-06,0.0001219142,-2.453334E-05
04/06/2026,18:00:59,9672.2,1.539374E-06,0.0001219081,-2.453198E-05
04/06/2026,18:00:59,9672.4,1.538058E-06,0.0001219019,-2.453062E-05
04/06/2026,18:00:59,9672.6,1.536747E-06,0.0001218958,-2.452926E-05
04/06/2026,18:00:59,9672.8,1.535431E-06,0.0001218896,-2.452791E-05
04/06/2026,18:00:59,9673,1.534112E-06,0.0001218835,-2.452655E-05
04/06/2026,18:01:00,9673.2,1.532794E-06,0.0001218774,-2.45252E-05
04/06/2026,18:01:00,9673.4,1.531475E-06,0.0001218712,-2.452384E-05
04/06/2026,18:01:00,9673.6,1.530155E-06,0.0001218651,-2.452249E-05
04/06/2026,18:01:00,9673.8,1.528832E-06,0.000121859,-2.452113E-05
04/06/2026,18:01:00,9674,1.527508E-06,0.0001218528,-2.451978E-05
04/06/2026,18:01:01,9674.2,1.526188E-06,0.0001218467,-2.451843E-05
04/06/2026,18:01:01,9674.4,1.52487E-06,0.0001218406,-2.451707E-05
04/06/2026,18:01:01,9674.6,1.523549E-06,0.0001218345,-2.451572E-05
04/06/2026,18:01:01,9674.8,1.52223E-06,0.0001218283,-2.451436E-05
04/06/2026,18:01:01,9675,1.520918E-06,0.0001218222,-2.451301E-05
04/06/2026,18:01:02,9675.2,1.519607E-06,0.0001218161,-2.451165E-05
04/06/2026,18:01:02,9675.4,1.518292E-06,0.0001218099,-2.45103E-05
04/06/2026,18:01:02,9675.6,1.516975E-06,0.0001218038,-2.450894E-05
04/06/2026,18:01:02,9675.8,1.515662E-06,0.0001217977,-2.450759E-05
04/06/2026,18:01:02,9676,1.514357E-06,0.0001217916,-2.450624E-05
04/06/2026,18:01:03,9676.2,1.513057E-06,0.0001217855,-2.450489E-05
04/06/2026,18:01:03,9676.4,1.511757E-06,0.0001217794,-2.450354E-05
04/06/2026,18:01:03,9676.6,1.510454E-06,0.0001217733,-2.45022E-05
04/06/2026,18:01:03,9676.8,1.509147E-06,0.0001217672,-2.450085E-05
04/06/2026,18:01:03,9677,1.507837E-06,0.0001217611,-2.44995E-05
04/06/2026,18:01:04,9677.2,1.506522E-06,0.000121755,-2.449816E-05
04/06/2026,18:01:04,9677.4,1.505207E-06,0.0001217489,-2.449681E-05
04/06/2026,18:01:04,9677.6,1.503891E-06,0.0001217428,-2.449547E-05
04/06/2026,18:01:04,9677.8,1.502571E-06,0.0001217367,-2.449412E-05
04/06/2026,18:01:04,9678,1.501253E-06,0.0001217307,-2.449278E-05
04/06/2026,18:01:05,9678.2,1.499933E-06,0.0001217246,-2.449144E-05
04/06/2026,18:01:05,9678.4,1.498611E-06,0.0001217185,-2.449009E-05
04/06/2026,18:01:05,9678.6,1.497288E-06,0.0001217125,-2.448875E-05
04/06/2026,18:01:05,9678.8,1.495962E-06,0.0001217064,-2.448741E-05
04/06/2026,18:01:05,9679,1.49464E-06,0.0001217003,-2.448607E-05
04/06/2026,18:01:06,9679.2,1.493319E-06,0.0001216943,-2.448473E-05
04/06/2026,18:01:06,9679.4,1.492001E-06,0.0001216882,-2.448339E-05
04/06/2026,18:01:06,9679.6,1.490684E-06,0.0001216822,-2.448205E-05
04/06/2026,18:01:06,9679.8,1.489363E-06,0.0001216762,-2.448071E-05
04/06/2026,18:01:06,9680,1.488039E-06,0.0001216701,-2.447938E-05
04/06/2026,18:01:07,9680.2,1.486715E-06,0.0001216641,-2.447804E-05
04/06/2026,18:01:07,9680.4,1.485393E-06,0.000121658,-2.44767E-05
04/06/2026,18:01:07,9680.6,1.484074E-06,0.000121652,-2.447537E-05
04/06/2026,18:01:07,9680.8,1.482758E-06,0.000121646,-2.447404E-05
04/06/2026,18:01:07,9681,1.481441E-06,0.00012164,-2.447271E-05
04/06/2026,18:01:08,9681.2,1.480125E-06,0.000121634,-2.447139E-05
04/06/2026,18:01:08,9681.4,1.478805E-06,0.000121628,-2.447006E-05
04/06/2026,18:01:08,9681.6,1.477479E-06,0.0001216221,-2.446873E-05
04/06/2026,18:01:08,9681.8,1.476153E-06,0.0001216161,-2.446741E-05
04/06/2026,18:01:08,9682,1.474831E-06,0.0001216101,-2.446609E-05
04/06/2026,18:01:09,9682.2,1.47351E-06,0.0001216042,-2.446477E-05
04/06/2026,18:01:09,9682.4,1.472184E-06,0.0001215982,-2.446345E-05
04/06/2026,18:01:09,9682.6,1.470858E-06,0.0001215923,-2.446213E-05
04/06/2026,18:01:09,9682.8,1.469534E-06,0.0001215863,-2.446082E-05
04/06/2026,18:01:09,9683,1.468213E-06,0.0001215804,-2.44595E-05
04/06/2026,18:01:10,9683.2,1.46689E-06,0.0001215745,-2.445819E-05
04/06/2026,18:01:10,9683.4,1.465557E-06,0.0001215685,-2.445687E-05
04/06/2026,18:01:10,9683.6,1.464219E-06,0.0001215626,-2.445555E-05
04/06/2026,18:01:10,9683.8,1.462881E-06,0.0001215567,-2.445423E-05
04/06/2026,18:01:10,9684,1.461541E-06,0.0001215508,-2.445292E-05
04/06/2026,18:01:11,9684.2,1.460199E-06,0.0001215448,-2.44516E-05
04/06/2026,18:01:11,9684.4,1.458853E-06,0.0001215389,-2.445029E-05
04/06/2026,18:01:11,9684.6,1.457505E-06,0.000121533,-2.444897E-05
04/06/2026,18:01:11,9684.8,1.456155E-06,0.0001215271,-2.444766E-05
04/06/2026,18:01:11,9685,1.454801E-06,0.0001215211,-2.444634E-05
